,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
23,54,54,2.0,1,64,6,47737.0,40,0.0,54906,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,6724.0
24,54,54,2.0,1,64,6,47737.0,40,0.0,58197,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,3433.0
25,54,54,2.0,1,64,6,47737.0,40,0.0,46931,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,14699.0
26,60,60,0.0,0,43,6,62558.0,44,0.0,34500,25624,0,0,24,2.0,0,1,0,0,0,0,0,1024,28925.0
27,60,60,0.0,0,45,6,42311.0,44,0.0,34500,60358,0,0,24,2.0,0,1,0,0,0,0,0,1024,59726.0
28,54,54,2.0,1,64,6,47737.0,40,0.0,25624,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,36006.0
29,54,54,2.0,1,64,6,47737.0,40,0.0,60358,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,1272.0
30,60,60,0.0,0,37,6,58842.0,44,0.0,34500,25575,0,0,24,2.0,0,1,0,0,0,0,0,1024,28974.0
31,60,60,0.0,0,43,6,44554.0,44,0.0,34500,19258,0,0,24,2.0,0,1,0,0,0,0,0,1024,35291.0
,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
0,54,54,2.0,1,64,6,47737.0,40,0.0,43547,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,18083.0
1,54,54,2.0,1,64,6,47737.0,40,0.0,14035,34500,1,1,20,20.0,0,0,1,0,1,0,0,0,47595.0
